คะแนนสอบโปรเจคภาคเรียนที่ 1 ปีการศึกษา 2560

ระบบสื่อประสมเพื่อการเรียนรู้และวิเคราะห์ผู้เรียน,MEDIA ONLINE LEARNING SYSTEM AND LEARNER DATA ANALYTICS
ระบบเพื่อการพัฒนาและจัดการแอพลิเคชั่นกระแสงานอัตโนมัติ,A System for Development and Management of Automated Workflow Applications
แอปพลิเคชันเว็บและมือถือสำหรับติดตามและแจ้งเตือนเด็กที่ถูกลืมในรถตู้โรงเรียนอนุบาลโดยใช้เซ็นเซอร์ไอโอที,Web and Mobile Applications for Tracking and Notification of Forgotten Children in a Kindergarten Van Using Multiple IoT-Based Sensors
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
กรรมการคุมสอบ,รศ. ดร. นพพร โชติกกำธร

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,สื่อการนำเสนอ,การนำเสนอ,การตอบคำถาม,รายงาน,การค้นคว้า,การวิเคราะห์และออกแบบ,ปริมาณงาน,ความยากง่าย,คุณภาพของงาน
แอปพลิเคชันเว็บและมือถือสำหรับติดตามและแจ้งเตือนเด็กที่ถูกลืมในรถตู้โรงเรียนอนุบาลโดยใช้เซ็นเซอร์ไอโอที,Web and Mobile Applications for Tracking and Notification of Forgotten Children in a Kindergarten Van Using Multiple IoT-Based Sensors
เว็บแอพพลิเคชั่นเพื่อสมาคมกีฬาหมากล้อมแห่งประเทศไทย,Web Application for Go Association of Thailand
ระบบปรับสีภาพตามผู้ใช้กำหนด,User-Guided Image Colorization
การพัฒนาเออาร์เพื่อประยุกต์ใช้ในการออกแบบจัดวางเครื่องเรือนภายในห้อง,AR development for room design
ระบบวิเคราะห์วงสวิงกอล์ฟ,Golf Swing Analysis System
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
กรรมการคุมสอบ,รศ. ดร. พรฤดี เนติโสภากุล

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,สื่อการนำเสนอ,การนำเสนอ,การตอบคำถาม,รายงาน,การค้นคว้า,การวิเคราะห์และออกแบบ,ปริมาณงาน,ความยากง่าย,คุณภาพของงาน
